station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170608,66.02,86,,5.816044,360,17.000744,,,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170727,73.94,93.02,,3.802798,360,14.987498,,,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170906,69.98,84.92,,6.487126,360,19.908766,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170108,32,44.96,,9.618842,360,25.948504,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170205,51.98,64.04,,5.368656,360,19.908766,,,0
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170302,55.94,71.06,,7.381902,360,21.027236,,,0.53937037
MAYPORT PILOT STN,FL,30.4,-81.4167,4.9,20170316,35.06,51.98,,6.263432,360,21.922012,,,0
DECATUR AP,IL,39.8344,-88.8656,205.7,20170122,39.02,50,,11.408394,360,25.948504,,,0
DECATUR AP,IL,39.8344,-88.8656,205.7,20170123,37.94,42.08,,12.750558,360,29.08022,,,0
DECATUR AP,IL,39.8344,-88.8656,205.7,20170807,60.98,77,,5.816044,360,21.027236,,,0
DECATUR AP,IL,39.8344,-88.8656,205.7,20170824,53.06,80.06,,4.921268,360,17.000744,,,0
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170105,33.08,42.98,42.26,6.487126,360,19.908766,0,0,0
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170417,66.92,80.06,72.32,5.59235,360,19.908766,0,0,0
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170606,69.98,89.06,78.08,6.263432,360,18.119214,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170105,37.04,64.04,47.12,9.618842,360,31.093466,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170107,17.24,42.08,26.78,9.395148,360,27.066974,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170125,48.02,69.98,65.84,11.408394,360,27.96175,0,0,0.01181103
COLLEGE STN,TX,30.5892,-96.3647,93,20170126,39.92,60.08,49.28,7.82929,360,21.027236,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170208,53.96,86,70.34,13.197946,360,33.106712,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170503,60.08,91.04,77.18,14.987498,360,40.041226,0,0,0.09842525
COLLEGE STN,TX,30.5892,-96.3647,93,20170606,69.08,87.98,76.46,8.724066,360,23.935258,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170621,73.94,91.04,82.04,13.645334,360,29.974996,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170624,69.98,84.02,79.52,7.82929,360,29.974996,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,20170809,75.92,93.02,82.04,5.816044,360,16.105968,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170104,32,39.92,36.68,8.500372,360,23.040482,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170113,41,48.92,48.02,10.737312,360,18.119214,0,0,0.20078751
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170201,53.06,80.06,65.12,12.30317,360,29.08022,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170605,69.08,87.08,75.38,6.487126,360,25.948504,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170829,71.06,89.96,79.34,12.526864,360,31.093466,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170830,71.06,89.96,80.42,13.197946,360,27.066974,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,20170906,64.94,84.92,75.92,9.618842,360,23.935258,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170203,19.22,35.96,,6.71082,360,19.908766,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170315,16.16,39.02,,4.47388,360,14.987498,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170328,53.06,59,,6.039738,360,16.105968,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170421,48.92,60.08,,7.82929,360,21.922012,0,0,0.11023628
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170511,62.06,75.92,,7.605596,360,23.040482,0,0,0.16141741
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170513,50,82.04,,1.565858,360,12.974252,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170607,53.06,82.04,,6.71082,360,27.96175,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170715,66.02,89.06,,3.802798,360,19.908766,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170728,71.06,87.98,,10.513618,360,25.053728,0,0,0
CAHOKIA ST LOUIS AP,IL,38.5714,-90.1572,125.9,20170820,68,93.92,,3.579104,360,23.935258,0,0,0
DALLAS REDBIRD AP,TX,32.6808,-96.8681,200.6,20170117,42.98,51.98,,6.934514,360,18.119214,0,0,0.42126007
DALLAS REDBIRD AP,TX,32.6808,-96.8681,200.6,20170209,35.06,60.08,,7.605596,360,19.908766,0,0,0
DALLAS REDBIRD AP,TX,32.6808,-96.8681,200.6,20170411,60.98,73.94,,6.934514,360,14.987498,0,0,0.16929143
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170105,23.18,35.06,,12.974252,360,29.08022,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170114,35.96,41,,8.724066,360,17.000744,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170202,39.92,48.02,,12.974252,360,25.948504,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170307,39.02,71.96,,11.408394,360,34.001488,0,0,0.01181103
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170421,57.02,84.02,,14.54011,360,38.922756,0,0,0.46850419
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170529,62.06,87.08,,4.921268,360,18.119214,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170619,71.06,91.04,,8.724066,360,23.935258,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170830,66.02,87.08,,10.513618,360,25.053728,0,0,0
DENTON MUNI AP,TX,33.2061,-97.1989,195.7,20170912,53.06,84.02,,6.71082,360,25.053728,0,0,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170106,20.12,31.1,,13.42164,360,29.08022,0,0,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170201,44.96,82.94,,4.250186,360,23.040482,,,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170202,39.92,60.08,,8.724066,360,21.027236,,,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170208,46.94,84.02,,9.842536,360,31.988242,,,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170503,60.08,91.04,,10.737312,360,33.106712,0,0,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170724,71.96,91.94,,3.579104,360,36.90951,0,0,0.85826818
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170823,73.94,93.92,,4.921268,360,21.922012,,,0
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,20170829,69.08,87.98,,10.513618,360,27.96175,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170304,12.2,22.1,,9.618842,360,25.053728,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170328,42.08,50,,8.052984,360,18.119214,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170527,53.96,69.98,,2.908022,360,10.06623,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170607,51.98,71.96,,7.158208,360,21.922012,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170720,62.96,78.08,,6.487126,360,29.08022,,,0.75196891
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170825,53.96,71.06,,4.250186,360,18.119214,,,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170413,33.98,50,41.9,9.395148,360,21.922012,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170421,46.04,57.92,53.78,10.06623,360,23.935258,0,0,0.42126007
BINGHAMTON,NY,42.1997,-75.985,489.5,20170614,57.02,75.92,67.64,7.381902,360,18.119214,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170730,51.98,75.92,64.22,6.934514,360,19.01399,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170909,44.96,55.94,50.36,8.052984,360,21.922012,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170107,20.12,25.16,23.54,13.645334,360,29.08022,9.6850446,1.181103,0.51968532
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170114,26.24,33.08,29.84,5.368656,360,21.922012,1.4960638,0,0.12992133
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170422,46.94,53.06,49.82,8.052984,360,19.908766,0,0,0.07086618
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170626,59,78.08,70.88,8.724066,360,27.96175,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170725,62.06,71.06,64.94,6.71082,360,17.000744,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170816,64.94,87.08,75.38,6.71082,360,21.027236,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170909,53.96,69.98,61.88,9.395148,360,21.922012,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170911,53.06,77,64.22,6.71082,360,18.119214,0,0,0
CHICAGO AURORA MUNI AP,IL,41.77,-88.4814,216.4,20170309,25.16,46.04,,6.71082,360,25.948504,,,0
CHICAGO AURORA MUNI AP,IL,41.77,-88.4814,216.4,20170406,31.1,53.96,,19.01399,360,36.014734,,,0.01968505
CHICAGO AURORA MUNI AP,IL,41.77,-88.4814,216.4,20170608,46.04,84.02,,5.144962,360,18.119214,,,0.05905515
CHICAGO PALWAUKEE AP,IL,42.1208,-87.9047,193.9,20170406,35.96,48.92,,14.092722,360,35.119958,,,0.1181103
CHICAGO PALWAUKEE AP,IL,42.1208,-87.9047,193.9,20170407,33.98,51.98,,7.82929,360,25.053728,,,0
CHICAGO PALWAUKEE AP,IL,42.1208,-87.9047,193.9,20170505,39.92,59,,10.961006,360,33.106712,,,0
CHICAGO PALWAUKEE AP,IL,42.1208,-87.9047,193.9,20170606,50,73.94,,9.618842,360,29.08022,,,0
CHICAGO PALWAUKEE AP,IL,42.1208,-87.9047,193.9,20170710,64.94,82.94,,4.921268,360,27.066974,,,0.66141768
PUNTA GORDA CHARLOTTE CO AP,FL,26.9172,-81.9914,7.6,20170829,75.02,89.96,,7.158208,360,19.908766,0,0,0
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170108,35.96,55.04,44.42,15.882274,360,29.08022,0,0,0
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170210,48.92,73.04,61.7,10.06623,360,25.053728,0,0,0
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170223,62.06,78.98,67.28,9.618842,360,38.922756,0,0,0.20078751
GAINESVILLE RGNL AP,FL,29.6919,-82.2756,37.5,20170704,73.04,95,82.76,4.697574,360,23.935258,0,0,0.16929143
LEESBURG MUNI AP,FL,28.8208,-81.8097,23.5,20170530,73.04,95,,6.263432,360,25.948504,0,0,0.37007894
LEESBURG MUNI AP,FL,28.8208,-81.8097,23.5,20170809,78.08,93.92,,6.263432,360,17.000744,0,0,0
APALACHICOLA AP,FL,29.7333,-85.0333,5.8,20170615,73.04,82.94,,3.802798,360,21.922012,,,1.61023709
APALACHICOLA AP,FL,29.7333,-85.0333,5.8,20170625,73.94,89.06,,6.71082,360,27.066974,,,0.7086618
APALACHICOLA AP,FL,29.7333,-85.0333,5.8,20170805,73.04,87.08,,3.802798,360,23.040482,0,0,0.85826818
APALACHICOLA AP,FL,29.7333,-85.0333,5.8,20170911,62.96,75.02,,20.803542,360,48.09421,0,0,0.61023655
CROSS CITY AP,FL,29.6333,-83.1053,11.6,20170409,39.02,78.98,,3.35541,360,18.119214,0,0,0
CROSS CITY AP,FL,29.6333,-83.1053,11.6,20170502,59,87.98,,5.816044,360,19.908766,0,0,0
CROSS CITY AP,FL,29.6333,-83.1053,11.6,20170911,64.94,66.92,,35.119958,360,55.9235,0,,2.38189105
DAYTONA BEACH INTL AP,FL,29.1828,-81.0483,9.4,20170626,73.94,89.96,79.52,3.802798,360,36.014734,0,0,2.51181238
FT MYERS PAGE FLD AP,FL,26.585,-81.8614,4.6,20170130,51.98,71.06,,5.144962,360,25.948504,0,0,0
FT MYERS PAGE FLD AP,FL,26.585,-81.8614,4.6,20170708,75.92,91.94,,3.579104,360,19.01399,0,0,0.05118113
FT MYERS PAGE FLD AP,FL,26.585,-81.8614,4.6,20170907,73.94,95,,4.47388,360,23.935258,0,0,1.8897648
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170128,66.02,71.06,69.26,11.1847,360,21.027236,0,0,0.01181103
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170210,69.08,80.06,73.58,13.869028,360,29.08022,0,0,0
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170302,73.94,86,78.8,6.71082,360,17.000744,0,0,0
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170310,69.98,80.96,74.84,8.052984,360,19.01399,0,0,0
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170527,80.96,89.96,85.28,6.039738,360,16.105968,0,0,0
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170707,75.92,89.96,84.74,7.381902,360,23.040482,0,0,0.46063017
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170204,53.96,77,,8.724066,360,19.908766,,,0
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170209,60.98,84.02,,13.42164,360,31.988242,,,0
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170210,46.04,71.96,,10.289924,360,34.001488,,,0
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170226,60.98,75.02,,12.30317,360,25.948504,,,0
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170407,51.08,77,,11.632088,360,29.974996,,,0
MELBOURNE INTL AP,FL,28.1011,-80.6439,8.2,20170917,75.92,89.96,,11.408394,360,27.96175,0,0,0
MIAMI INTL AP,FL,25.7906,-80.3164,8.8,20170128,57.92,75.02,67.64,6.71082,360,18.119214,0,0,0
ORLANDO EXECUTIVE AP,FL,28.5453,-81.3331,32.9,20170108,35.06,53.96,,13.42164,360,31.988242,0,0,0
ORLANDO EXECUTIVE AP,FL,28.5453,-81.3331,32.9,20170210,50,71.96,,8.500372,360,23.040482,0,0,0
ORLANDO EXECUTIVE AP,FL,28.5453,-81.3331,32.9,20170810,78.98,95,,8.276678,360,25.948504,0,0,0
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170107,39.92,73.94,65.66,13.645334,360,29.08022,0,0,0.16929143
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170204,60.08,78.08,67.1,6.487126,360,16.105968,0,0,0
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170208,62.06,80.96,70.16,8.500372,360,25.948504,0,0,0.7086618
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170502,77,91.04,82.22,8.052984,360,23.040482,0,0,0.01181103
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170603,75.02,87.08,80.06,4.026492,360,23.040482,0,0,0.33858286
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170707,80.06,91.94,85.1,5.816044,360,25.053728,0,0,0
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170809,78.98,93.02,85.28,5.144962,360,18.119214,0,0,0
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170816,80.96,93.02,86.54,4.697574,360,31.093466,0,0,0.25984266
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170817,80.06,91.04,85.46,3.35541,360,21.027236,0,0,0.24015761
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170901,75.02,93.02,84.38,5.816044,360,23.040482,0,0,0.90944931
VERO BEACH INTL AP,FL,27.6531,-80.2428,8.5,20170108,41,62.06,49.64,16.77705,360,35.119958,0,0,0
VERO BEACH INTL AP,FL,27.6531,-80.2428,8.5,20170204,55.94,78.08,65.66,7.158208,360,19.908766,0,0,0
VERO BEACH INTL AP,FL,27.6531,-80.2428,8.5,20170917,73.04,87.98,80.6,10.06623,360,27.96175,0,0,0
WEST PALM BEACH INTL AP,FL,26.6847,-80.0994,5.8,20170917,77,89.06,81.86,9.171454,360,25.948504,0,0,0
FT LAUDERDALE HOLLYWOOD AP,FL,26.0719,-80.1536,3.4,20170128,55.04,73.04,64.22,7.82929,360,21.922012,0,0,0
ORLANDO SANFORD AP,FL,28.7797,-81.2436,16.8,20170130,44.06,62.06,,7.82929,360,25.053728,0,0,0
ORLANDO SANFORD AP,FL,28.7797,-81.2436,16.8,20170210,48.92,71.06,,8.500372,360,23.040482,0,0,0
SARASOTA BRADENTON AP,FL,27.4014,-82.5586,8.5,20170220,57.02,82.94,,6.039738,360,25.053728,0,0,0
SARASOTA BRADENTON AP,FL,27.4014,-82.5586,8.5,20170810,77,91.04,,5.816044,360,19.908766,0,0,0.05118113
ST PETERSBURG INTL AP,FL,27.9106,-82.6875,3.4,20170208,62.06,80.96,,11.408394,360,27.066974,0,0,0.57086645
ST PETERSBURG INTL AP,FL,27.9106,-82.6875,3.4,20170210,53.06,73.04,,10.513618,360,31.093466,0,0,0
ST PETERSBURG INTL AP,FL,27.9106,-82.6875,3.4,20170910,73.94,82.04,,25.501116,360,72.924244,0,0,3.8188997
WINTER HAVEN GILBERT AP,FL,28.0622,-81.7542,44.5,20170128,48.02,69.98,,7.605596,360,36.90951,0,0,0
WINTER HAVEN GILBERT AP,FL,28.0622,-81.7542,44.5,20170223,59,78.98,,7.82929,360,25.053728,0,0,0.0393701
MIAMI KENDALL TAMIAMI EXEC AP,FL,25.6475,-80.4331,3,20170108,48.02,68,,18.342908,360,35.119958,0,0,0
MIAMI KENDALL TAMIAMI EXEC AP,FL,25.6475,-80.4331,3,20170129,50,62.96,,7.158208,360,29.08022,0,,0.44881914
MIAMI KENDALL TAMIAMI EXEC AP,FL,25.6475,-80.4331,3,20170506,60.98,84.02,,9.395148,360,27.96175,0,0,0
MIAMI KENDALL TAMIAMI EXEC AP,FL,25.6475,-80.4331,3,20170715,78.08,93.02,,7.605596,360,27.96175,0,0,0
FT MYERS SW FL RGNL AP,FL,26.5361,-81.755,9.4,20170130,50,69.08,,3.802798,360,23.935258,0,0,0
FT PIERCE ST LUCIE CO INTL AP,FL,27.4981,-80.3767,7.3,20170224,59,80.06,,6.039738,360,23.040482,0,0,0
FT PIERCE ST LUCIE CO INTL AP,FL,27.4981,-80.3767,7.3,20170302,66.02,87.98,,7.158208,360,23.040482,0,0,0.01968505
MARATHON AP,FL,24.7258,-81.0517,2.4,20170107,60.98,87.08,,10.961006,360,35.119958,0,0,0.11023628
MARATHON AP,FL,24.7258,-81.0517,2.4,20170108,55.04,69.08,,19.01399,360,36.014734,0,0,0
MARATHON AP,FL,24.7258,-81.0517,2.4,20170203,69.08,80.96,,6.71082,360,14.092722,0,0,0
MARATHON AP,FL,24.7258,-81.0517,2.4,20170214,69.08,82.04,,2.013246,360,8.94776,0,0,0
MARATHON AP,FL,24.7258,-81.0517,2.4,20170316,57.92,73.94,,11.408394,360,25.948504,0,0,0
MARATHON AP,FL,24.7258,-81.0517,2.4,20170719,77,91.94,,4.921268,360,18.119214,0,0,0.46850419
MARATHON AP,FL,24.7258,-81.0517,2.4,20170917,82.04,89.06,,5.816044,360,21.922012,0,0,0
NAPLES MUNI AP,FL,26.1522,-81.7753,2.7,20170108,42.08,62.96,,12.750558,360,27.96175,0,0,0
HARLINGEN RIO GRANDE AP,TX,26.2281,-97.6542,10.4,20170106,35.06,71.06,,20.803542,360,36.90951,0,0,0
HARLINGEN RIO GRANDE AP,TX,26.2281,-97.6542,10.4,20170402,69.98,96.08,,10.961006,360,27.066974,0,0,0.31102379
HARLINGEN RIO GRANDE AP,TX,26.2281,-97.6542,10.4,20170430,59,87.98,,14.316416,360,48.988986,0,0,0
HARLINGEN RIO GRANDE AP,TX,26.2281,-97.6542,10.4,20170605,69.98,96.98,,7.158208,360,48.988986,0,0,0.05905515
LAREDO AFB,TX,27.5333,-99.4667,153.9,20170107,27.14,46.94,,8.052984,360,16.105968,0,0,0
LAREDO AFB,TX,27.5333,-99.4667,153.9,20170301,64.94,87.08,,12.526864,360,36.014734,0,0,0
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170106,27.14,46.94,41.54,18.119214,360,35.119958,,0,0.01181103
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170224,55.94,86,73.04,10.513618,360,29.08022,0,0,0
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170513,57.92,91.04,75.2,6.71082,360,18.119214,0,0,0
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170624,75.02,86,81.14,7.158208,360,27.066974,0,0,0.75984293
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170828,71.96,78.08,73.94,21.922012,360,44.067718,0,0,1.75196945
VICTORIA RGNL AP,TX,28.8614,-96.9303,35.1,20170829,71.96,87.08,77.54,17.89552,360,38.922756,0,0,0.0787402
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170106,32,44.96,42.08,18.119214,360,36.90951,,0,0.18110246
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170203,48.92,62.96,56.66,12.30317,360,23.040482,,,0
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170209,53.06,73.04,63.86,11.408394,360,23.935258,0,0,0
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170301,60.98,84.92,75.38,11.855782,360,29.974996,0,0,0
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170314,42.08,69.08,53.78,5.816044,360,21.027236,0,0,0
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170411,62.06,80.06,71.24,8.276678,360,38.922756,0,0,1.11023682
PORT ARTHUR SE TX AP,TX,29.9506,-94.0206,4.9,20170829,69.08,73.94,73.22,22.145706,360,46.080964,0,0,26.03151012
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170209,51.08,71.06,64.22,9.395148,360,25.948504,0,0,0
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170224,59,84.02,71.06,10.961006,360,29.974996,0,0,0
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170301,60.98,84.92,75.92,12.974252,360,34.001488,0,0,0
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170411,60.98,78.98,70.7,7.381902,360,52.120702,0,0,1.2598432
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170608,71.96,87.98,80.96,5.144962,360,17.000744,0,0,0
HOUSTON HOBBY AP,TX,29.6381,-95.2819,13.4,20170911,66.92,87.08,78.26,9.395148,360,23.935258,0,0,0
